Tariff item number,,,Description of goods,Product specific rules
,84.11,,"Turbo-jets, turbo-propellers and other gas turbines.",
,,,- Turbo-jets:,
,,8411.11,-- Of a thrust not exceeding 25 kN,LVC 40% or CTSH
,,8411.12,-- Of a thrust exceeding 25 kN,LVC 40% or CTSH
,,,- Turbo-propellers:,
,,8411.21,"-- Of a power not exceeding 1,100 kW",LVC 40% or CTSH
,,8411.22,"-- Of a power exceeding 1,100 kW",LVC 40% or CTSH
,,,- Other gas turbines:,
,,8411.81,"-- Of a power not exceeding 5,000 kW",LVC 40% or CTSH
,,8411.82,"-- Of a power exceeding 5,000 kW",LVC 40% or CTSH
,84.12,,Other engines and motors.,
,,8412.1,- Reaction engines other than turbo-jets,LVC 40% or CTSH
,,,- Hydraulic power engines and motors:,
,,8412.21,-- Linear acting (cylinders),LVC 40% or CTSH
,,,,
,,8412.29,-- Other,LVC 40% or CTSH
,,,- Pneumatic power engines and motors:,
,,8412.31,-- Linear acting (cylinders),LVC 40% or CTSH
,,8412.39,-- Other,LVC 40% or CTSH
,,8412.8,- Other,LVC 40% or CTSH
,84.13,,"Pumps for liquids, whether or not fitted with a measuring device; liquid elevators.",
,,,- Pumps fitted or designated to be fitted with a measuring device:,
,,8413.11,"-- Pumps for dispensing fuel or lubricants, of the type used in filling-stations or in garages",LVC 40% or CTSH
,,8413.19,-- Other,LVC 40% or CTSH
,,8413.2,"- Hand pumps, other than those of subheading 8413.11 or 8413.19",LVC 40% or CTSH
,,8413.3,"- Fuel, lubricating or cooling medium pumps for internal combustion piston engines",LVC 40% or CTSH
,,8413.4,- Concrete pumps,LVC 40% or CTSH
,,8413.5,- Other reciprocating positive displacement pumps,LVC 40% or CTSH
,,8413.6,- Other rotary positive displacement pumps,LVC 40% or CTSH
,,8413.7,- Other centrifugal pumps,LVC 40% or CTSH
,,,- Other pumps; liquid elevators：,
,,8413.81,-- Pumps,LVC 40% or CTSH
,,8413.82,-- Liquid elevators,LVC 40% or CTSH
,84.14,,"Air or vacuum pumps, air or other gas compressors and fans; ventilating or recycling hoods incorporating a fan, whether or not fitted with filters.",
,,8414.1,- Vacuum pumps,LVC 40% or CTSH
,,8414.2,- Hand- or foot-operated air pumps,LVC 40% or CTSH
,,8414.3,- Compressors of a kind used in refrigerating equipment,LVC 40% or CTSH
,,8414.4,- Air compressors mounted on a wheeled chassis for towing,LVC 40% or CTSH
,,,- Fans:,
,,8414.51,"-- Table, floor, wall, window, ceiling or roof fans, with a self-contained electric motor of an output not
 exceeding 125 W",LVC 40% or CTSH
,,8414.59,-- Other,LVC 40% or CTSH
,,8414.6,- Hoods having a maximum horizontal side not exceeding 120 cm,LVC 40% or CTSH
,,8414.8,- Other,LVC 40% or CTSH
,84.15,,"Air conditioning machines, comprising a motor-driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately",
,,,,
,,,regulated.,
,,8415.1,"- Window of wall types, self-contained or “split-system”",LVC 40% or CTSH
,,8415.2,"- Of a kind used for persons, in motor vehicles",LVC 40% or CTSH
,,,- Other:,
,,8415.81,-- Incorporating a refrigerating unit and a valve for reversal of the cooling/heat cycle (reversible heat pumps),LVC 40% or CTSH
,,8415.82,"-- Other, incorporating a refrigerating unit",LVC 40% or CTSH
,,8415.83,"-- Not incorporating a refrigerating
 unit",LVC 40% or CTSH
,84.16,,"Furnace burners for liquid fuel, for pulverized solid fuel or for gas; mechanical stokers, including their mechanical grates, mechanical ash dischargers and similar appliances.",
,,8416.1,- Furnace burners for liquid fuel,LVC 40% or CTSH
,,8416.2,"- Other furnace burners, including combination burners",LVC 40% or CTSH
,,8416.3,"- Mechanical stokers, including their mechanical grates, mechanical ash dischargers and similar appliances",LVC 40% or CTSH
,84.17,,"Industrial or laboratory furnaces and ovens, including incinerators, non-electric.",
,,8417.1,"- Furnaces and ovens for the roasting, melting or other heat-treatment of
 ores, pyrites or of metals",LVC 40% or CTSH
,,8417.2,"- Bakery ovens, including biscuit ovens",LVC 40% or CTSH
,,8417.8,- Other,LVC 40% or CTSH
,84.18,,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading 84.15.",
,,8418.1,"- Combined refrigerator-freezers, fitted with separate external doors",LVC 40% or CTSH
,,,"- Refrigerators, household type:",
,,8418.21,-- Compression-type,LVC 40% or CTSH
,,8418.29,-- Other,LVC 40% or CTSH
,,8418.3,"- Freezers of the chest type, not exceeding 800 l capacity",LVC 40% or CTSH
,,8418.4,"- Freezers of the upright type, not exceeding 900 l capacity",LVC 40% or CTSH
,,8418.5,"- Other furniture (chests, cabinets, display counters, show-cases and the like) for storage and display, incorporating refrigerating or
 freezing equipment",LVC 40% or CTSH
,,,,
,,,- Other refrigerating or freezing equipment; heat pumps:,
,,8418.61,-- Heat pumps other than air conditioning machines of heading 84.15,LVC 40% or CTSH
,,8418.69,-- Other,LVC 40% or CTSH
,84.19,,"Machinery, plant or laboratory equipment, whether or not electrically heated (excluding furnaces, ovens and other equipment of heading 85.14), for the treatment of materials by a process involving a change of temperature such as heating, cooking, roasting, distilling, rectifying, sterilizing, pasteurizing, steaming, drying, evaporating, vaporizing, condensing or cooling, other than machinery or plant of a kind used for domestic purposes; instantaneous or storage water heaters, non-electric.",
,,,"- Instantaneous or storage water heaters, non-electric:",
,,8419.11,-- Instantaneous gas water heaters,LVC 40% or CTSH
,,8419.19,-- Other,LVC 40% or CTSH
,,8419.2,"- Medical, surgical or laboratory sterilizers",LVC 40% or CTSH
,,,- Dryers:,
,,8419.31,-- For agricultural products,LVC 40% or CTSH
,,8419.32,"-- For wood, paper pulp, paper or
 paperboard",LVC 40% or CTSH
,,8419.39,-- Other,LVC 40% or CTSH
,,8419.4,- Distilling or rectifying plant,LVC 40% or CTSH
,,8419.5,- Heat exchange units,LVC 40% or CTSH
,,8419.6,- Machinery for liquefying air or other gases,LVC 40% or CTSH
,,,"- Other machinery, plant and equipment:",
,,8419.81,-- For making hot drinks or for cooking or heating food,LVC 40% or CTSH
,,8419.89,-- Other,LVC 40% or CTSH
,84.2,,"Calenderingor other rolling machines, other than for metals or glass, and cylinders therefor.",
,,8420.1,- Calendering or other rolling machines,LVC 40% or CTSH
,84.21,,"Centrifuges, including centrifugal dryers; filtering or purifying machinery and apparatus, for liquids or gases.",
,,,"- Centrifuges, including centrifugal dryers:",
,,8421.11,-- Cream separators,LVC 40% or CTSH
,,8421.12,-- Clothes-dryers,LVC 40% or CTSH
,,8421.19,-- Other,LVC 40% or CTSH
,,,- Filtering or purifying machinery and,
,,,,
,,,apparatus for liquids:,
,,8421.21,-- For filtering or purifying water,LVC 40% or CTSH
,,8421.22,-- For filtering or purifying beverages other than water,LVC 40% or CTSH
,,8421.23,-- Oil or petrol-filters for internal combustion engines,LVC 40% or CTSH
,,8421.29,-- Other,LVC 40% or CTSH
,,,- Filtering or purifying machinery and apparatus for gases:,
,,8421.31,-- Intake air filters for internal combustion engines,LVC 40% or CTSH
,,8421.39,-- Other,LVC 40% or CTSH
,84.22,,"Dish washing machines; machinery for cleaning or drying bottles or other containers; machinery for filling, closing, sealing or labeling bottles, cans, boxes, bags or other containers; machinery for capsuling bottles, jars, tubes and similar containers; other packing or wrapping machinery (including heat-shrink wrapping machinery); machinery for aerating beverages.",
,,,- Dish washing machines:,
,,8422.11,-- Of the household type,LVC 40% or CTSH
,,8422.19,-- Other,LVC 40% or CTSH
,,8422.2,- Machinery for cleaning or drying bottles or other containers,LVC 40% or CTSH
,,8422.3,"- Machinery for filling, closing, sealing, or labeling bottles, cans, boxes, bags or other containers; machinery for capsuling bottles, jars, tubes and similar containers; machinery for aerating beverages",LVC 40% or CTSH
,,8422.4,"- Other packing or wrapping machinery (including heat-shrink wrapping
 machinery)",LVC 40% or CTSH
,84.23,,"Weighing machinery (excluding balances of a sensitivity of 5 cg or better), including weight operated counting or checking machines; weighing machine weights of all kinds.",
,,8423.1,"- Personal weighing machines, including baby scales; household scales",LVC 40% or CTSH
,,8423.2,- Scales for continuous weighing of goods on conveyors,LVC 40% or CTSH
,,8423.3,"- Constant weight scales and scales for discharging a predetermined weight of material into a bag or container,
 including hopper scales",LVC 40% or CTSH
,,,- Other weighing machinery:,
,,8423.81,-- Having a maximum weighing capacity,LVC 40% or CTSH
,,,,
,,,not exceeding 30 kg,
,,8423.82,"-- Having a maximum weighing capacity not exceeding 30 kg but not exceeding
 5,000 kg",LVC 40% or CTSH
,,8423.89,-- Other,LVC 40% or CTSH
,84.24,,"Mechanical appliances (whether or not hand-operated) for projecting, dispersing or spraying liquids or powders; fire extinguishers, whether or not charged; spray guns and similar appliances; steam or sand blasting machines and similar jet projecting machines.",
,,8424.1,"- Fire extinguishers, whether or not
 charged",LVC 40% or CTSH
,,8424.2,- Spray guns and similar appliances,LVC 40% or CTSH
,,8424.3,- Steam or sand blasting machines and similar jet projecting machines,LVC 40% or CTSH
,,,- Other appliances:,
,,8424.81,-- Agricultural or horticultural,LVC 40% or CTSH
,,8424.89,-- Other,LVC 40% or CTSH
,84.32,,"Agricultural, horticultural or forestry machinery for soil preparation or cultivation; lawn or sports-ground rollers.",
,,8432.1,- Ploughs,LVC 40% or CTSH
,,,"- Harrows, scarifiers, cultivators, weeders and hoes:",
,,8432.21,-- Disc harrows,LVC 40% or CTSH
,,8432.29,-- Other,LVC 40% or CTSH
,,8432.3,"- Seeders, planters and transplanters",LVC 40% or CTSH
,,8432.4,- Manure spreaders and fertilizer and distributors,LVC 40% or CTSH
,,8432.8,- Other machinery,LVC 40% or CTSH
,84.33,,"Harvesting or threshing machinery, including straw or fodder balers; grass or hay mowers; machines for cleaning, sorting or grading eggs, fruit or other agricultural produce, other than machinery of heading 84.37.",
,,,"- Mowers for lawns, parks or sports-grounds:",
,,8433.11,"-- Powered, with the cutting device rotating in a horizontal plane",LVC 40% or CTSH
,,8433.19,-- Other,LVC 40% or CTSH
,,8433.2,"- Other mowers, including cutter bars for tractor mounting",LVC 40% or CTSH
,,8433.3,- Other haymaking machinery,LVC 40% or CTSH
,,8433.4,"- Straw or fodder balers, including pick-up balers",LVC 40% or CTSH
,,,- Other harvesting machinery; threshing machinery:,
,,,,
,,8433.51,-- Combine harvester-threshers,LVC 40% or CTSH
,,8433.52,-- Other threshing machinery,LVC 40% or CTSH
,,8433.53,-- Root or tuber harvesting machines,LVC 40% or CTSH
,,8433.59,-- Other,LVC 40% or CTSH
,,8433.6,"- Machines for cleaning, sorting or grading eggs, fruit or other
 agricultural produce",LVC 40% or CTSH
,84.34,,Milking machines and dairy machinery.,
,,8434.1,- Milking machines,LVC 40% or CTSH
,,8434.2,- Dairy machinery,LVC 40% or CTSH
,84.35,,"Presses, crushersand similar machinery used in the manufacture of wine, cider, fruit juices or similar beverages.",
,,8435.1,- Machinery,LVC 40% or CTSH
,84.36,,"Other agricultural, horticultural, forestry, poultry-keeping or bee-keeping machinery, including germination plant fitted with mechanical or thermal equipment; poultry incubators and brooders.",
,,8436.1,- Machinery for preparing animal feeding stuffs,LVC 40% or CTSH
,,,- Poultry-keeping machinery; poultry incubators and brooders:,
,,8436.21,-- Poultry incubators and brooders,LVC 40% or CTSH
,,8436.29,-- Other,LVC 40% or CTSH
,,8436.8,- Other machinery,LVC 40% or CTSH
,84.37,,"Machines for cleaning, sorting or grading seed, grain or dried leguminous vegetables; machinery used in the milling industry or for the working of cereals or dried leguminous vegetables, other than farm-type machinery.",
,,8437.1,"- Machines for cleaning, sorting or grading seed, grain or dried leguminous vegetables",LVC 40% or CTSH
,,8437.8,- Other machinery,LVC 40% or CTSH
,84.38,,"Machinery not specified or included elsewhere in this Chapter, for the industrial preparation or manufacture of food or drink, other than machinery for the extraction or preparation of animal or fixed vegetable fats or oils.",
,,8438.1,"- Bakery machinery and machinery for the manufacture of macaroni, spaghetti or similar products",LVC 40% or CTSH
,,8438.2,"- Machinery for the manufacture of confectionary, cocoa or chocolate",LVC 40% or CTSH
,,8438.3,- Machinery for sugar manufacture,LVC 40% or CTSH
,,8438.4,- Brewery machinery,LVC 40% or CTSH
,,8438.5,- Machinery for the preparation of meat or poultry,LVC 40% or CTSH
,,,,
,,8438.6,"- Machinery for the preparation of fruits, nuts or vegetables",LVC 40% or CTSH
,,8438.8,- Other machinery,LVC 40% or CTSH
,84.39,,Machinery for making pulp of fibrous cellulosic material or for making or finishing paper or paperboard.,
,,8439.1,- Machinery for making pulp of fibrous cellulosic material,LVC 40% or CTSH
,,8439.2,- Machinery for making paper or paperboard,LVC 40% or CTSH
,,8439.3,"- Machinery for finishing paper or
 paperboard",LVC 40% or CTSH
,84.4,,"Book-binding machinery, including book-sewing machines.",
,,8440.1,- Machinery,LVC 40% or CTSH
,84.41,,"Other machinery for making up paper pulp, paper or paper board, including cutting machines of all kinds.",
,,8441.1,- Cutting machines,LVC 40% or CTSH
,,8441.2,"- Machines for making bags, sacks or
 envelopes",LVC 40% or CTSH
,,8441.3,"- Machines for making cartons, boxes, cases, tubes, drums or similar containers, other than by molding",LVC 40% or CTSH
,,8441.4,"- Machines for molding articles in paper pulp, paper or paperboard",LVC 40% or CTSH
,,8441.8,- Other machinery,LVC 40% or CTSH
,84.42,,"Machinery, apparatus and equipment (other than the machine-tools of headings 84.56 to 84.65) for preparing or making plates, cylinders or other printing components; plates, cylinders or other printing components; plates, cylinders and other printing components; plates, cylinders and lithographic stones, prepared for printing purposes (for example, planed, grained or polished).",
,,8442.3,"- Machinery, apparatus and equipment",LVC 40% or CTSH
,84.43,,"Printing machinery used for printing by means of plates, cylinders and other printing components of heading 84.42; other printers, copying machines and facsimile machines, whether or not combined; parts and accessories thereof.",
,,,"- Printing machinery used for printing by means of plates, cylinders and other printing components of heading 84.42:",
,,8443.11,"-- Offset printing machinery, reel-fed",LVC 40% or CTSH
,,8443.12,"-- Offset printing machinery, sheet-fed, office type (using sheets",LVC 40% or CTSH
,,,,
,,,with one side not exceeding 22 cm and the other side not exceeding 36 cm in the unfolded state),
,,8443.13,-- Other offset printing machinery,LVC 40% or CTSH
,,8443.14,"-- Letterpress printing machinery, reel fed, excluding flexographic printing",LVC 40% or CTSH
,,8443.15,"-- Letterpress printing machinery, other than reel fed, excluding
 flexographic printing",LVC 40% or CTSH
,,8443.16,-- Flexographic printing machinery,LVC 40% or CTSH
,,8443.17,-- Gravure printing machinery,LVC 40% or CTSH
,,8443.19,-- Other,LVC 40% or CTSH
,,,"- Other printers, copying machines and facsimile machines, whether or not combined:",
,,8443.31,"-- Machines which perform two or more of the functions of printing, copying or facsimile transmission, capable of connecting to an automatic data processing machine or to a network",LVC 40% or CTSH
,,8443.32,"-- Other, capable of connecting to an automatic dataprocessing machine or to a network",LVC 40% or CTSH
,,8443.39,-- Other,LVC 40% or CTSH
,84.48,,"Auxiliary machinery for use with machines of heading 84.44, 84.45, 84.46 or 84.47 (for example, dobbies,
 Jacquards, automatic stop motions, shuttle changing mechanisms); parts and accessories suitable for use solely or principally with the machines of this heading or of heading 84.44, 84.45, 84.46 or 84.47 (for example, spindles and spindle flyers, card clothing, combs, extruding nipples, shuttles, healds and heald-frames, hosiery needles).",
,,,"- Auxiliary machinery for machines of heading 84.44, 84.45, 84.46 or 84.47:",
,,8448.11,"-- Dobbies and Jacquards; card reducing, copying, punching or assembling machines for use therewith",LVC 40% or CTSH
,,8448.19,-- Other,LVC 40% or CTSH
,84.5,,"Household or laundry-type washing machines, including machines which both wash and dry.",
,,,"- Machines, each of a dry linen capacity not exceeding 10 kg:",
,,8450.11,-- Fully-automatic machines,LVC 40% or CTSH
,,8450.12,"-- Other machines, with built-in centrifugal drier",LVC 40% or CTSH
,,8450.19,-- Other,LVC 40% or CTSH
,,,,
,,8450.2,"- Machines, each of a dry linen capacity exceeding 10 kg",LVC 40% or CTSH
,84.51,,"Machinery (other than machines of heading 84.50) for washing, cleaning, wringing, drying, ironing, pressing (including fusing presses), bleaching, dyeing, dressing, finishing, coating or impregnating textile yarns, fabrics or made up textile articles and machines for applying the paste to the base fabric or other support used in the manufacture of floor coverings such as linoleum; machines for reeling, unreeling, folding, cutting or pinking textile fabrics.",
,,8451.1,- Dry-cleaning machines,LVC 40% or CTSH
,,,- Drying machines:,
,,8451.21,-- Each of a dry linen capacity not exceeding 10 kg,LVC 40% or CTSH
,,8451.29,-- Other,LVC 40% or CTSH
,,8451.3,- Ironing machines and presses (including fusing presses),LVC 40% or CTSH
,,8451.4,"- Washing, bleaching or dyeing machines",LVC 40% or CTSH
,,8451.5,"- Machines for reeling, unreeling, folding, cutting or pinking textile fabrics",LVC 40% or CTSH
,,8451.8,- Other machinery,LVC 40% or CTSH
,84.52,,"Sewing machines, other than book-sewing machines of heading 84.40; furniture bases and covers specially designed for sewing machines; sewing machine needles.",
,,8452.1,- Sewing machines of the household type,LVC 40% or CTSH
,,,- Other sewing machines:,
,,8452.21,-- Automatic units,LVC 40% or CTSH
,,8452.29,-- Other,LVC 40% or CTSH
,,8452.3,- Sewing machine needles,LVC 40% or CTSH
,,8452.4,"- Furniture, bases and covers for sewing machines and parts thereof",LVC 40% or CTSH
,84.53,,"Machinery for preparing, tanning or working hides, skins or leather or for making or repairing footwear or other articles of hides, skins or leather, other than sewing machines.",
,,8453.1,"- Machinery for preparing, tanning or working hides, skins or leather",LVC 40% or CTSH
,,8453.2,"- Machinery for making or repairing
 footwear",LVC 40% or CTSH
,,8453.8,- Other machinery,LVC 40% or CTSH
,84.54,,"Converters, ladles, ingot molds and casting machines, of a kind used in metallurgy or in metal foundries.",
,,,,
,,8454.1,- Converters,LVC 40% or CTSH
,,8454.2,- Ingot molds and ladles,LVC 40% or CTSH
,,8454.3,- Casting machines,LVC 40% or CTSH
,84.55,,Metal-rolling mills and rolls therefor.,
,,8455.1,- Tube mills,LVC 40% or CTSH
,,,- Other rolling mills:,
,,8455.21,-- Hot or combination hot and cold,LVC 40% or CTSH
,,8455.22,-- Cold,LVC 40% or CTSH
,,8455.3,- Rolls for rolling mills,LVC 40% or CTSH
,84.67,,"Tools for working in the hand, pneumatic, hydraulic or with self-contained electric or non-electric motor.",
,,,- Pneumatic:,
,,8467.11,-- Rotary type (including combined rotary-percussion),LVC 40% or CTSH
,,8467.19,-- Other,LVC 40% or CTSH
,,,- With self-contained electric motor:,
,,8467.21,-- Drills of all kinds,LVC 40% or CTSH
,,8467.22,-- Saws,LVC 40% or CTSH
,,8467.29,-- Other,LVC 40% or CTSH
,,,- Other tools:,
,,8467.81,-- Chain saws,LVC 40% or CTSH
,,8467.89,-- Other,LVC 40% or CTSH
,84.68,,"Machinery and apparatus for soldering, brazing or welding, whether or not capable of cutting, otherthan those of heading 85.15; gas-operated surface tempering machines and appliances.",
,,8468.1,- Hand-held blow pipes,LVC 40% or CTSH
,,8468.2,"- Other gas-operated machinery and
 apparatus",LVC 40% or CTSH
,,8468.8,- Other machinery and apparatus,LVC 40% or CTSH
,84.73,,"Parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of headings 84.69 to 84.72.",
,,8473.3,- Parts and accessories of the machines of heading 84.71,LVC 40% or CTH except from heading 85.42.
,84.74,,"Machinery for sorting, screening, separating, washing, crushing, grinding, mixing or kneading earth, stone, ores or other mineral substances, in solid (including powder or paste) form; machinery for agglomerating, shaping or molding solid mineral fuels, ceramic paste, unhardened cements, plastering materials or other mineral products in powder or paste form; machines for",
,,,,
,,,forming foundry molds of sand.,
,,8474.1,"- Sorting, screening, separating or washing machines",LVC 40% or CTSH
,,8474.2,- Crushing or grinding machines,LVC 40% or CTSH
,,,- Mixing or kneading machines:,
,,8474.31,-- Concrete or mortar mixers,LVC 40% or CTSH
,,8474.32,-- Machines for mixing mineral substances with bitumen,LVC 40% or CTSH
,,8474.39,-- Other,LVC 40% or CTSH
,,8474.8,- Other machinery,LVC 40% or CTSH
,84.75,,"Machines for assembling electric or electronic lamps, tubes or valves or flashbulbs, in glass envelopes; machines for manufacturing or hot working glass or glassware.",
,,8475.1,"- Machines for assembling electric or electronic lamps, tubes or valves or flashbulbs, in glass envelopes",LVC 40% or CTSH
,,,- Machines for manufacturing or hot working glass or glassware:,
,,8475.21,-- Machines for making optical fibers and performs thereof,LVC 40% or CTSH
,,8475.29,-- Other,LVC 40% or CTSH
,84.76,,"Automatic goods-vending machines (for example, postage stamp, cigarette, food or beverage machines), including money-changing machines.",
,,,- Automatic beverage-vending machines:,
,,8476.21,-- Incorporating heating or refrigerating devices,LVC 40% or CTSH
,,8476.29,-- Other,LVC 40% or CTSH
,,,- Other machines:,
,,8476.81,-- Incorporating heating or refrigerating devices,LVC 40% or CTSH
,,8476.89,-- Other,LVC 40% or CTSH
,84.77,,"Machinery for working rubber or plastics or for the manufacture of products from these materials, not specified or included elsewherein this Chapter.",
,,8477.1,- injection-molding machines,LVC 40% or CTSH
,,8477.2,- Extruders,LVC 40% or CTSH
,,8477.3,- Blow molding machines,LVC 40% or CTSH
,,8477.4,- Vacuum molding machines and other thermoforming machines,LVC 40% or CTSH
,,,- Other machinery for molding or otherwise forming:,
,,8477.51,"-- For molding or retreading pneumatic tires or for molding or otherwise
 forming inner tubes",LVC 40% or CTSH
,,8477.59,-- Other,LVC 40% or CTSH
,,8477.8,- Other machinery,LVC 40% or CTSH
,,,,
,84.78,,"Machinery for preparing or making up tobacco, not specified or included elsewhere in this Chapter.",
,,8478.1,- Machinery,LVC 40% or CTSH
,84.79,,"Machines and mechanical appliances having individual functions, not specified or included elsewhere in this Chapter.",
,,8479.1,"- Machinery for public works, building or the like",LVC 40% or CTSH
,,8479.2,"- Machinery for the extraction or preparation of animal or fixed
 vegetable fats or oils",LVC 40% or CTSH
,,8479.3,- Presses for the manufacture of particle board or fiber building board of wood or other ligneous materials and other machinery for treating wood or cork,LVC 40% or CTSH
,,8479.4,- Rope or cable-making machines,LVC 40% or CTSH
,,8479.5,"- Industrial robots, not elsewhere specified or included",LVC 40% or CTSH
,,8479.6,- Evaporative air coolers,LVC 40% or CTSH
,,,- Other machines and mechanical appliances:,
,,8479.81,"-- For treating metal, including electric wire coil-winders",LVC 40% or CTSH
,,8479.82,"-- Mixing, kneading, crushing, grinding, screening, sifting, homogenizing, emulsifying or stirring machines",LVC 40% or CTSH
,,8479.89,-- Other,LVC 40% or CTSH
,84.81,,"Taps, cocks, valves and similar appliances for pipes, boiler shells, tanks, vats or the like, including pressure-reducing valves and thermostatically controlled valves.",
,,8481.1,- Pressure-reducing valves,LVC 40% or CTSH
,,8481.2,- Valves for oleohydraulic or pneumatic transmissions,LVC 40% or CTSH
,,8481.3,- Check (nonreturn) valves,LVC 40% or CTSH
,,8481.4,- Safety or relief valves,LVC 40% or CTSH
,,8481.8,- Other appliances,LVC 40% or CTSH
,84.82,,Ball or roller bearings.,
,,8482.1,- Ball bearings,LVC 40% or CTSH
,,8482.2,"- Tapered roller bearings, including cone and tapered roller assemblies",LVC 40% or CTSH
,,8482.3,- Spherical roller bearings,LVC 40% or CTSH
,,8482.4,- Needle roller bearings,LVC 40% or CTSH
,,8482.5,- Other cylindrical roller bearings,LVC 40% or CTSH
,,8482.8,"- Other, including combined ball/roller bearings",LVC 40% or CTSH
,84.83,,Transmission shafts (including cam,
,,,,
,,,"shafts and crank shafts) and cranks; bearing housings and plain shaft bearings; gears and gearing; ball or roller screws; gear boxes and other speed changers, including torque converters; flywheels and pulleys, including pulley blocks; clutches and shaft couplings (including universal joints).",
,,8483.1,- Transmission shafts (including cam shafts and crank shafts) and cranks,LVC 40% or CTSH
,,8483.2,"- Bearing housings, incorporating ball or roller bearings",LVC 40% or CTSH
,,8483.3,"- Bearing housings, not incorporating ball or roller bearings; plain shaft bearings",LVC 40% or CTSH
,,8483.4,"- Gears and gearing, otherthan toothed wheels, chain sprockets and other transmission elements presented separately; ball or roller screws; gear boxes and other speed changers, including torque converters",LVC 40% or CTSH
,,8483.5,"- Flywheels and pulleys, including pulley blocks",LVC 40% or CTSH
,,8483.6,- Clutches and shaft couplings (including universal joints),LVC 40% or CTSH
,84.84,,"Gaskets and similar joints of metal sheeting combined with other material or of two or more layers of metal; sets or assortments of gaskets and similar joints, dissimilar in composition, put up in pouches, envelopes or similar packings; mechanical seals.",LVC 40% or CC
,84.86,,"Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9 (C) tothis Chapter; parts and accessories.",
,,8486.1,- Machines and apparatus for the manufacture of boules or wafers,LVC 40% or CTSH
,,8486.2,- Machines and apparatus for the manufacture of semiconductordevices or of electronic integrated circuits,LVC 40% or CTSH
,,8486.3,- Machines and apparatus for the manufacture of flat panel displays,LVC 40% or CTSH
,,8486.4,- Machines and apparatus specified in Note 9 (C) to this Chapter,LVC 40% or CTSH
Chapter 85,,,Electrical machinery and equipment and parts thereof; sound recorders and,
,,,,
,,,"reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",
,85.02,,Electric generating sets and rotary converters.,
,,,- Other generating sets:,
,,8502.31,-- Wind-powered,LVC 40% or CTSH
,,8502.4,- Electric rotary converters,LVC 40% or CTSH
,85.04,,"Electrical transformers, static converters (for example, rectifiers) and inductors.",
,,8504.1,- Ballasts for discharge lamps or tubes,LVC 40% or CTSH
,,,- Liquid dielectric transformers:,
,,8504.21,-- Having a power handling capacity not exceeding 650 kVA,LVC 40% or CTSH
,,8504.22,"-- Having a power handling capacity exceeding 650 kVA but not exceeding
 10,000 kVA",LVC 40% or CTSH
,,8504.23,"-- Having a power handling capacity exceeding 10,000 kVA",LVC 40% or CTSH
,,,- Other transformers:,
,,8504.31,-- Having a power handling capacity not exceeding 1 kVA,LVC 40% or CTSH
,,8504.32,-- Having a power handling capacity exceeding 1 kVA but not exceeding 16 kVA,LVC 40% or CTSH
,,8504.33,-- Having a power handling capacity exceeding 16 kVA but not exceeding 500 kVA,LVC 40% or CTSH
,,8504.34,-- Having a power handling capacity exceeding 500 kVA,LVC 40% or CTSH
,,8504.4,- Static converters,LVC 40% or CTSH
,,8504.5,- Other inductors,LVC 40% or CTSH
,85.05,,"Electro-magnets; permanent magnets and articles intended to become permanent magnets after magnetization; electro-magnetic or permanent magnetic chucks, clamps and similar holding devices; electro-magnetic couplings, clutches and brakes; electro-magnetic lifting heads.",
,,,- Permanent magnets and articles intended to become permanent magnets after magnetization:,
,,8505.11,-- Of metal,LVC 40% or CTSH
,,8505.19,-- Other,LVC 40% or CTSH
,,8505.2,"- Electro-magnetic couplings, clutches and brakes",LVC 40% or CTSH
,85.06,,Primary cells and primary batteries.,
,,8506.1,- Manganese dioxide,LVC 40% or CTSH
,,8506.3,- Mercuric oxide,LVC 40% or CTSH
,,8506.4,- Silver oxide,LVC 40% or CTSH
,,8506.5,- Lithium,LVC 40% or CTSH
,,,,
,,8506.6,- Air-zinc,LVC 40% or CTSH
,,8506.8,"- Other primary cells and primary
 batteries",LVC 40% or CTSH
,85.07,,"Electric accumulators, including separators therefor, whether or not rectangular (including square).",LVC 40% or CTSH
,85.08,,Vacuum cleaners.,
,,,- With self-contained electric motor:,
,,8508.11,"-- Of a power not exceeding 1,500 W and having a dust bag or other receptacle capacity not exceeding 20 l",LVC 40% or CTSH
,,8508.19,-- Other,LVC 40% or CTSH
,,8508.6,- Other vacuum cleaners,LVC 40% or CTSH
,85.09,,"Electro-mechanical domestic appliances, with self-contained electric motor, other than vacuum cleaners of heading 85.08.",
,,8509.4,- Food grinders and mixers; fruit or vegetable juice extractors,LVC 40% or CTSH
,,8509.8,- Other appliances,LVC 40% or CTSH
,85.1,,"Shavers, hair clippers and hair-removing appliances, with self-contained electric motor.",
,,8510.1,- Shavers,LVC 40% or CTSH
,,8510.2,- Hair clippers,LVC 40% or CTSH
,,8510.3,- Hair-removing appliances,LVC 40% or CTSH
